"sexo","salario_anual","estado_civil","escolaridade","limite_credito","valor_transacoes_12m","classelimite_credito","classevalor_transacoes_12m"
"M","$80K - $120K","solteiro","mestrado","30271.39","3231.76","limite de crédito médio para alto","volume de transação média para alta"
"F","$40K - $60K","casado","mestrado","2936.33","1572.56","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","11806.86","1465.99","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","solteiro","doutorado","4734.64","1570.94","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","1438.81","694.56","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","divorciado","doutorado","34516.96","1929.84","limite de crédito médio para alto","volume de transação média para alta"
"M","$80K - $120K","solteiro","mestrado","23561.92","2447.49","limite de crédito médio para alto","volume de transação média para alta"
"F","menos que $40K","divorciado","graduacao","5923.75","1236.83","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","casado","mestrado","3156.99","2091.56","limite de crédito médio para baixo","volume de transação média para alta"
"M","$60K - $80K","casado","mestrado","1535.78","1848.41","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","casado","mestrado","2122.22","949.3","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","5822.06","1804.34","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","doutorado","3537.25","1605.17","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","mestrado","34516.42","1463.92","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","solteiro","mestrado","16320.11","1279.02","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","34516.14","1475.68","limite de crédito médio para alto","volume de transação média para baixa"
"M","$40K - $60K","solteiro","doutorado","15459.46","1419.0","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","na","graduacao","6361.67","1571.9","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","solteiro","mestrado","8796.83","1195.72","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","solteiro","doutorado","1438.21","1431.12","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","doutorado","18001.86","1194.85","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","2680.55","1154.85","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","2448.82","1269.48","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","doutorado","4049.6","1742.4","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","solteiro","mestrado","13848.63","1773.8","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2490.25","864.95","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","2578.17","1830.21","limite de crédito médio para baixo","volume de transação média para alta"
"F","na","casado","mestrado","9050.95","1542.36","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","4051.31","1837.27","limite de crédito médio para baixo","volume de transação média para alta"
"M","$60K - $80K","casado","graduacao","11959.21","1191.49","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","casado","graduacao","3636.21","1564.05","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","doutorado","11262.11","2165.71","limite de crédito médio para alto","volume de transação média para alta"
"F","$40K - $60K","solteiro","mestrado","5108.61","1631.49","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","casado","mestrado","5903.27","1137.09","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","na","mestrado","7860.47","1367.68","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","casado","doutorado","5918.44","1292.79","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","solteiro","mestrado","6741.43","1682.43","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","divorciado","mestrado","34516.92","1770.94","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","5450.71","1526.8","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","graduacao","18226.68","1681.78","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","8128.36","1224.08","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","doutorado","10260.08","1566.79","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","doutorado","2163.64","1349.91","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","doutorado","33864.94","1751.42","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","4531.23","1414.68","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","2950.43","1260.93","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","7706.53","965.72","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","solteiro","graduacao","3770.8","1602.83","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","divorciado","doutorado","26437.06","1244.66","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","graduacao","34516.48","1698.96","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","doutorado","9959.5","2041.75","limite de crédito médio para alto","volume de transação média para alta"
"F","menos que $40K","casado","mestrado","2421.01","1346.57","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","casado","mestrado","4085.97","596.38","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","casado","mestrado","3358.25","1759.87","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","solteiro","graduacao","1888.68","1886.46","limite de crédito médio para baixo","volume de transação média para alta"
"F","na","casado","graduacao","12605.8","1870.29","limite de crédito médio para alto","volume de transação média para alta"
"M","$60K - $80K","solteiro","mestrado","2727.72","1294.05","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","doutorado","3343.12","1545.73","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","doutorado","21697.65","2117.62","limite de crédito médio para alto","volume de transação média para alta"
"M","$80K - $120K","solteiro","doutorado","31383.05","1721.19","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","solteiro","doutorado","30883.93","1267.49","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","solteiro","doutorado","14310.62","1254.51","limite de crédito médio para alto","volume de transação média para baixa"
"M","na","casado","doutorado","14434.39","1731.13","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","solteiro","graduacao","7793.57","1099.32","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","casado","mestrado","4343.81","1352.14","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","mestrado","2872.14","1770.08","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","solteiro","doutorado","2148.15","2167.31","limite de crédito médio para baixo","volume de transação média para alta"
"M","$60K - $80K","solteiro","doutorado","3312.82","647.94","limite de crédito médio para baixo","volume de transação média para baixa"
"M","menos que $40K","casado","doutorado","3888.79","1145.16","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","doutorado","30655.09","3280.84","limite de crédito médio para alto","volume de transação média para alta"
"M","$120K +","solteiro","mestrado","3386.89","1736.7","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","divorciado","mestrado","25188.61","1513.68","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","solteiro","doutorado","2410.32","2505.39","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","casado","graduacao","2378.62","1807.92","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","solteiro","doutorado","13632.75","2168.41","limite de crédito médio para alto","volume de transação média para alta"
"M","$40K - $60K","casado","mestrado","2158.82","1718.41","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","10244.3","1127.79","limite de crédito médio para alto","volume de transação média para baixa"
"M","$40K - $60K","casado","mestrado","10747.12","1340.14","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","3555.73","2346.74","limite de crédito médio para baixo","volume de transação média para alta"
"M","$80K - $120K","casado","mestrado","22140.58","1580.67","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","2580.44","1665.22","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","6224.09","2187.25","limite de crédito médio para baixo","volume de transação média para alta"
"F","$40K - $60K","casado","mestrado","4076.28","1235.88","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","casado","mestrado","4861.41","1556.45","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","na","mestrado","9851.07","1212.52","limite de crédito médio para alto","volume de transação média para baixa"
"F","na","solteiro","mestrado","17023.13","1610.74","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","divorciado","mestrado","8475.61","1381.79","limite de crédito médio para baixo","volume de transação média para baixa"
"M","menos que $40K","casado","graduacao","5559.91","1793.18","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2917.48","1831.82","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","solteiro","mestrado","8551.53","1097.06","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","7051.61","1451.08","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","graduacao","10117.27","1509.52","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","26442.12","1403.76","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","4920.33","1420.36","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","graduacao","26750.6","1131.46","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","graduacao","34516.07","1005.0","limite de crédito médio para alto","volume de transação média para baixa"
"F","$40K - $60K","casado","doutorado","1869.49","1549.68","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","doutorado","4844.43","1489.38","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","3214.56","2516.6","limite de crédito médio para baixo","volume de transação média para alta"
"F","na","casado","mestrado","1438.1","2583.3","limite de crédito médio para baixo","volume de transação média para alta"
"F","$40K - $60K","solteiro","mestrado","1438.99","2167.86","limite de crédito médio para baixo","volume de transação média para alta"
"M","$60K - $80K","casado","mestrado","5269.88","2195.67","limite de crédito médio para baixo","volume de transação média para alta"
"F","na","casado","doutorado","20156.26","1362.86","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","graduacao","7410.79","2398.51","limite de crédito médio para baixo","volume de transação média para alta"
"M","$120K +","casado","mestrado","12163.94","2649.58","limite de crédito médio para alto","volume de transação média para alta"
"M","menos que $40K","casado","graduacao","4250.61","1174.71","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","casado","mestrado","12059.09","1836.4","limite de crédito médio para alto","volume de transação média para alta"
"M","$80K - $120K","solteiro","doutorado","18037.18","1387.01","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","casado","graduacao","5657.31","2028.24","limite de crédito médio para baixo","volume de transação média para alta"
"F","na","casado","mestrado","13770.26","1582.35","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","4646.76","1774.9","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","2514.72","1636.87","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","graduacao","14501.66","1031.48","limite de crédito médio para alto","volume de transação média para baixa"
"F","$40K - $60K","divorciado","mestrado","3038.87","2189.21","limite de crédito médio para baixo","volume de transação média para alta"
"M","$80K - $120K","na","mestrado","8851.38","1257.2","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","19063.97","1270.28","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","solteiro","mestrado","5376.97","1840.32","limite de crédito médio para baixo","volume de transação média para alta"
"F","na","divorciado","mestrado","7772.67","2585.53","limite de crédito médio para baixo","volume de transação média para alta"
"M","$80K - $120K","casado","mestrado","34516.66","1729.62","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","15405.71","1763.53","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","1888.79","1517.56","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","3102.28","1977.78","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","divorciado","mestrado","3170.01","2027.11","limite de crédito médio para baixo","volume de transação média para alta"
"M","$120K +","solteiro","graduacao","34516.26","1497.88","limite de crédito médio para alto","volume de transação média para baixa"
"M","na","solteiro","mestrado","1438.74","2005.09","limite de crédito médio para baixo","volume de transação média para alta"
"M","$60K - $80K","casado","mestrado","14825.79","1904.45","limite de crédito médio para alto","volume de transação média para alta"
"M","$80K - $120K","casado","graduacao","2929.02","1903.87","limite de crédito médio para baixo","volume de transação média para alta"
"M","$80K - $120K","casado","graduacao","22120.49","3981.61","limite de crédito médio para alto","volume de transação média para alta"
"M","$80K - $120K","casado","doutorado","1438.33","2730.75","limite de crédito médio para baixo","volume de transação média para alta"
"M","$80K - $120K","casado","mestrado","4829.9","938.83","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2156.16","1345.67","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","solteiro","graduacao","26714.33","1686.91","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","2092.35","1468.14","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2834.54","1598.37","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","4724.84","1232.75","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","doutorado","3128.06","2361.67","limite de crédito médio para baixo","volume de transação média para alta"
"M","$80K - $120K","solteiro","mestrado","2506.36","1687.4","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","9959.79","1560.46","limite de crédito médio para alto","volume de transação média para baixa"
"F","$40K - $60K","solteiro","graduacao","4589.75","1637.1","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","2781.68","1707.34","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","na","mestrado","8504.03","1881.96","limite de crédito médio para baixo","volume de transação média para alta"
"F","$40K - $60K","casado","graduacao","3417.74","1641.08","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","mestrado","14302.36","1505.02","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","6313.83","1703.62","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","doutorado","11696.23","2445.51","limite de crédito médio para alto","volume de transação média para alta"
"M","$80K - $120K","casado","doutorado","20371.82","1665.91","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","solteiro","mestrado","7552.92","1393.1","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","casado","doutorado","5561.22","1820.36","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","4570.01","1520.89","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","3583.04","1065.33","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","solteiro","mestrado","17018.69","1550.5","limite de crédito médio para alto","volume de transação média para baixa"
"F","na","solteiro","graduacao","16031.95","1527.81","limite de crédito médio para alto","volume de transação média para baixa"
"M","menos que $40K","divorciado","mestrado","4213.92","1264.19","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","21548.15","1582.77","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","na","mestrado","18513.33","1567.61","limite de crédito médio para alto","volume de transação média para baixa"
"M","$40K - $60K","casado","doutorado","2483.88","1704.69","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","solteiro","doutorado","3460.01","1546.08","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","casado","doutorado","2985.41","1065.61","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","mestrado","2859.85","2247.96","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","casado","mestrado","2888.61","1111.69","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","7353.89","2005.44","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","solteiro","mestrado","5145.02","1588.68","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","casado","mestrado","4753.75","2242.83","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","solteiro","mestrado","2171.16","1415.72","limite de crédito médio para baixo","volume de transação média para baixa"
"M","menos que $40K","divorciado","graduacao","4150.86","2483.72","limite de crédito médio para baixo","volume de transação média para alta"
"M","$60K - $80K","casado","mestrado","9106.01","1239.33","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","34516.68","1629.92","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","casado","mestrado","15017.19","2076.31","limite de crédito médio para alto","volume de transação média para alta"
"F","$40K - $60K","casado","doutorado","2155.02","1655.51","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","graduacao","6231.15","1448.35","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","3094.49","1591.54","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","doutorado","6630.97","842.92","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","divorciado","mestrado","1925.59","781.27","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","na","graduacao","33406.41","1529.09","limite de crédito médio para alto","volume de transação média para baixa"
"F","na","casado","mestrado","2917.69","2422.25","limite de crédito médio para baixo","volume de transação média para alta"
"M","$120K +","solteiro","mestrado","34516.4","1308.7","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","2888.72","2489.03","limite de crédito médio para baixo","volume de transação média para alta"
"M","$60K - $80K","casado","doutorado","7712.29","1845.07","limite de crédito médio para baixo","volume de transação média para alta"
"M","$120K +","casado","mestrado","11789.17","1463.07","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","graduacao","34516.79","1733.06","limite de crédito médio para alto","volume de transação média para baixa"
"F","$40K - $60K","casado","doutorado","6725.61","1865.72","limite de crédito médio para baixo","volume de transação média para alta"
"M","menos que $40K","na","mestrado","2978.25","1413.45","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","34516.5","853.49","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","casado","mestrado","34516.45","1999.52","limite de crédito médio para alto","volume de transação média para alta"
"M","$120K +","solteiro","mestrado","10074.17","1729.69","limite de crédito médio para alto","volume de transação média para baixa"
"M","$40K - $60K","divorciado","mestrado","2259.26","1393.87","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","34516.49","1665.48","limite de crédito médio para alto","volume de transação média para baixa"
"F","na","casado","mestrado","3706.88","1688.1","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","na","mestrado","4438.38","1725.34","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","casado","doutorado","2372.39","1852.7","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","solteiro","mestrado","4214.37","1389.39","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","doutorado","1438.24","902.75","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","casado","mestrado","2613.35","1387.63","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","na","mestrado","3665.29","1881.95","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","casado","mestrado","1438.14","840.38","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","na","mestrado","15871.07","1562.46","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","12643.4","787.64","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","casado","doutorado","13873.74","694.26","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","6158.73","3132.22","limite de crédito médio para baixo","volume de transação média para alta"
"F","$40K - $60K","na","graduacao","12588.46","1561.49","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","11942.47","1085.19","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","graduacao","3914.13","1964.16","limite de crédito médio para baixo","volume de transação média para alta"
"M","$80K - $120K","casado","mestrado","3038.84","1762.79","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","18693.26","1516.1","limite de crédito médio para alto","volume de transação média para baixa"
"M","menos que $40K","casado","mestrado","2943.43","2591.97","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","casado","mestrado","2077.27","1629.22","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","6065.66","1114.31","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","casado","mestrado","5024.01","1925.96","limite de crédito médio para baixo","volume de transação média para alta"
"M","menos que $40K","solteiro","mestrado","2174.06","2510.64","limite de crédito médio para baixo","volume de transação média para alta"
"M","$80K - $120K","divorciado","mestrado","3673.66","1257.55","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","34516.76","1612.97","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","doutorado","3368.31","2022.63","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","solteiro","mestrado","5202.71","1558.41","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","4364.88","1392.8","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2400.22","1311.63","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","25878.16","1777.95","limite de crédito médio para alto","volume de transação média para baixa"
"M","$120K +","casado","mestrado","11876.89","1367.43","limite de crédito médio para alto","volume de transação média para baixa"
"F","$40K - $60K","na","doutorado","4568.32","1431.96","limite de crédito médio para baixo","volume de transação média para baixa"
"F","na","solteiro","mestrado","11189.27","2959.38","limite de crédito médio para alto","volume de transação média para alta"
"M","na","casado","mestrado","6099.17","1319.19","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","graduacao","3575.44","861.45","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","graduacao","3452.08","1008.05","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","casado","doutorado","4466.41","1757.97","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","3030.16","1805.34","limite de crédito médio para baixo","volume de transação média para baixa"
"F","$40K - $60K","casado","doutorado","2112.59","1338.49","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","7583.99","2229.76","limite de crédito médio para baixo","volume de transação média para alta"
"M","$120K +","solteiro","mestrado","11760.0","1498.9","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","casado","graduacao","2259.4","1790.17","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","doutorado","2803.38","1968.81","limite de crédito médio para baixo","volume de transação média para alta"
"M","$80K - $120K","casado","mestrado","25666.04","4088.03","limite de crédito médio para alto","volume de transação média para alta"
"F","menos que $40K","solteiro","graduacao","9297.24","1264.82","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2999.01","2017.98","limite de crédito médio para baixo","volume de transação média para alta"
"M","$40K - $60K","casado","doutorado","4234.59","1439.65","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","15987.78","2327.11","limite de crédito médio para alto","volume de transação média para alta"
"M","$80K - $120K","solteiro","mestrado","16435.51","1721.94","limite de crédito médio para alto","volume de transação média para baixa"
"M","$80K - $120K","casado","doutorado","3610.92","1652.01","limite de crédito médio para baixo","volume de transação média para baixa"
"M","menos que $40K","casado","mestrado","2416.16","2372.55","limite de crédito médio para baixo","volume de transação média para alta"
"M","$40K - $60K","casado","mestrado","2458.37","1238.18","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","1677.54","2389.59","limite de crédito médio para baixo","volume de transação média para alta"
"M","$60K - $80K","casado","doutorado","11819.39","2431.89","limite de crédito médio para alto","volume de transação média para alta"
"M","$40K - $60K","casado","mestrado","1459.62","2229.69","limite de crédito médio para baixo","volume de transação média para alta"
"M","$40K - $60K","casado","mestrado","7758.21","569.87","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","casado","doutorado","10836.53","1293.25","limite de crédito médio para alto","volume de transação média para baixa"
"M","$60K - $80K","solteiro","doutorado","5062.28","1314.28","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","5927.12","1558.28","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","3126.6","1388.35","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","divorciado","mestrado","4670.38","2256.59","limite de crédito médio para baixo","volume de transação média para alta"
"M","$120K +","divorciado","doutorado","34516.71","1699.84","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","solteiro","mestrado","1438.14","2580.72","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","solteiro","mestrado","3181.84","818.87","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$120K +","casado","mestrado","27088.53","1135.08","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","5688.38","1824.96","limite de crédito médio para baixo","volume de transação média para alta"
"F","$40K - $60K","casado","mestrado","6469.69","1717.13","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","casado","doutorado","5248.61","2305.41","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","casado","doutorado","5881.53","1931.59","limite de crédito médio para baixo","volume de transação média para alta"
"F","menos que $40K","divorciado","mestrado","1467.39","1731.88","limite de crédito médio para baixo","volume de transação média para baixa"
"F","menos que $40K","na","doutorado","1438.96","1338.11","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$40K - $60K","casado","doutorado","2256.48","1749.5","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$60K - $80K","solteiro","graduacao","8267.83","1917.5","limite de crédito médio para baixo","volume de transação média para alta"
"M","$80K - $120K","casado","graduacao","2111.64","773.25","limite de crédito médio para baixo","volume de transação média para baixa"
"M","$80K - $120K","casado","mestrado","21782.94","1537.97","limite de crédito médio para alto","volume de transação média para baixa"
"F","$40K - $60K","solteiro","doutorado","16677.12","1410.23","limite de crédito médio para alto","volume de transação média para baixa"
"F","menos que $40K","casado","mestrado","2717.34","2064.7","limite de crédito médio para baixo","volume de transação média para alta"
